Date,average_price,total_volume_sold,small,medium,large,type
2015-03-01,0.99,512532.44,441544,21183.7,347.78,conventional
2015-02-22,1.1,431308.56,369316.29,18324.76,237.47,conventional
2015-02-15,1.06,427391.28,364446.77,17420.41,638.18,conventional
2015-02-08,1.03,433883.91,377256.38,17162.5,524.85,conventional
2015-02-01,0.96,636771.37,553198.56,31583.38,294.94,conventional
2015-01-25,1.1,449332.85,393408.17,18718.27,594.25,conventional
2015-01-18,1.11,431490.99,372236.92,18701.9,511.69,conventional
2015-01-11,1.11,397542.72,330411.24,18958.22,1135.18,conventional
2015-01-04,1,435021.49,364302.39,23821.16,82.15,conventional
2015-12-27,1.17,596819.4,40450.49,394104.02,17353.79,conventional
2015-12-20,1.11,642682.4,44741.37,434590.82,19112.14,conventional
2015-12-13,1.15,619509.33,44400.26,399851.59,24291.2,conventional
2015-12-06,1.04,649141.25,51129.29,453586.5,25760.49,conventional
2015-11-29,1.16,545800.05,41028.15,379156.09,20147.53,conventional
2015-11-22,1.12,572019.8,40867.8,386137.78,23343.49,conventional
2015-11-15,1.04,718330.48,47109.75,503470.08,37990.29,conventional
2015-11-08,1.05,830967.23,58579.27,576512.71,51035.04,conventional
2015-11-01,1.12,742220.67,51860.07,473819.14,58615.76,conventional
2015-10-25,1.19,656892.03,53766.25,397911.35,49085.74,conventional
2015-10-18,0.99,1005603.78,59121.55,745385.26,49171.33,conventional
2015-10-11,1.24,653560.14,34707.02,392008.6,58490.1,conventional
2015-10-04,1.28,657444.04,35342.34,407609.95,42257.73,conventional
2015-09-27,1.19,696281.81,34309.05,451061.03,59018.61,conventional
2015-09-20,1.17,709268.62,39619.87,450283.01,45336.12,conventional
2015-09-13,1.09,924993.61,55699.25,675524.33,42270.47,conventional
2015-09-06,1.18,823623.36,63903.73,522568.44,68180.35,conventional
2015-08-30,1.24,734721.29,48455.25,458207.46,42754.34,conventional
2015-08-23,1.16,783935.36,59242.02,499100.39,47216.18,conventional
2015-08-16,1.14,882754.72,86492.03,597184.73,43102.61,conventional
2015-08-09,1.16,821523.45,56362.75,557363.94,42933.87,conventional
2015-08-02,1.17,800603.23,53957.63,535167.1,44749.58,conventional
2015-07-26,1.2,772926.12,52746.41,496508.65,45010.81,conventional
2015-07-19,1.18,800194.34,52954.94,496206.47,50319.84,conventional
2015-07-12,1.1,850931.58,58827.99,547537.41,50679.01,conventional
2015-07-05,1.16,896298.77,66504.67,567640.7,56044.51,conventional
2015-06-28,1.15,862261.64,65051.95,534535.21,51109.85,conventional
2015-06-21,1.16,862840.73,58398.76,527866.5,51952.74,conventional
2015-06-14,1.09,955046.82,64005.15,593499.63,48344.86,conventional
2015-06-07,1.26,794310.29,62585.45,462951.05,43720.95,conventional
2015-05-31,1.19,949177.06,67744.84,617813.87,45832.8,conventional
2015-05-24,1.18,908661.83,63610.12,560740.03,49808.51,conventional
2015-05-17,1.27,790853.86,63515.06,455166.65,44840.98,conventional
2015-05-10,1.26,855205.82,79192.07,507104.15,44390.54,conventional
2015-05-03,1.17,896972.05,73038.46,536709.99,77537.43,conventional
2015-04-26,1.29,747841.09,58013.85,431532.87,39942.57,conventional
2015-04-19,1.28,762862.62,67486.78,427623.27,42125.28,conventional
2015-04-12,1.15,837629.62,70796.72,523170.13,42270.76,conventional
2015-04-05,1.29,688065.45,53579.17,401279.47,41867.08,conventional
2015-03-29,1.25,663677.32,58098.15,398050.87,43759.68,conventional
2015-03-22,1.1,808897.21,65158.96,524971.24,42381.39,conventional
2015-03-15,1.24,693698.13,53400.14,395837.01,46596.22,conventional
2015-03-08,1.26,657745.9,55284.8,367670.93,42267.91,conventional
2015-03-01,1.16,770115.24,59039.85,498872.67,40241.65,conventional
2015-02-22,1.11,749845.79,50501.07,445970.56,62611.61,conventional
2015-02-15,1.25,637319.34,49751.74,361677.37,45900.05,conventional
2015-02-08,1.09,844931.21,71703.52,554857.41,37437.32,conventional
2015-02-01,1.06,1007418.76,93166.54,666010.38,83652.48,conventional
2015-01-25,1.2,692934.46,49696.14,386398.73,39488.95,conventional
2015-01-18,1.23,657741.34,49947.16,393359.6,40576.08,conventional
2015-01-11,1.17,670231.94,51460.64,420837.82,42526.96,conventional
2015-01-04,1.08,788025.06,53987.31,552906.04,39995.03,conventional
2015-12-27,0.97,62909.69,30482.25,2971.94,5894.4,conventional
2015-12-20,1.03,57504.05,25628.22,2546.09,7393.84,conventional
2015-12-13,0.99,58461.05,27148.61,2985.73,6458.44,conventional
2015-12-06,0.71,95295.34,35590.98,12526.5,4086.26,conventional
2015-11-29,1.06,49069.13,24189.98,2789.67,6031.49,conventional
2015-11-22,1.09,52875.58,25408.86,3255.97,6662.8,conventional
2015-11-15,1.01,68648.22,24424.72,12085.72,6502.37,conventional
2015-11-08,1.11,55847.79,31910.27,4651.88,6285.73,conventional
2015-11-01,1.14,53585.51,30434.99,4359.52,6428.27,conventional
2015-10-25,1.11,59874.45,29521.58,10089.82,6551.57,conventional
2015-10-18,1.16,54191.14,29614.23,9069.38,6586.27,conventional
2015-10-11,0.94,80904.19,26114.19,33415.88,7604.48,conventional
2015-10-04,1.12,59496.33,35154.43,10821.85,7551.63,conventional
2015-09-27,0.99,64187.8,47007.35,5754.04,3663.3,conventional
2015-09-20,1.03,73952.9,34826.9,21592.13,6640.07,conventional
2015-09-13,1.08,64208.84,45738.83,4393.9,6593.46,conventional
2015-09-06,1.16,64464.61,44134.65,5402.17,7991.75,conventional
2015-08-30,1.19,60099.83,40926.77,5809.92,7922.58,conventional
2015-08-23,1.05,70773.76,44059.22,14861.33,4433.12,conventional
2015-08-16,1.12,64001.61,46189.28,5258.21,6457.21,conventional
2015-08-09,1.1,61286.98,44739.54,5034,3931.19,conventional
2015-08-02,1.07,67763.91,51151.27,5140.89,5435.36,conventional
2015-07-26,1.07,67826.07,50978.38,4856.27,5479.57,conventional
2015-07-19,1.09,63958.04,45921.6,5300.3,5565.17,conventional
2015-07-12,1.05,74677.72,51828.75,5802.65,7474.4,conventional
2015-07-05,1.15,85044.45,61949.73,8022.13,8434.98,conventional
2015-06-28,1.04,75280.41,59111.33,6573.26,3974.75,conventional
2015-06-21,1.06,81397.07,52790.21,15444.74,5875.85,conventional
2015-06-14,0.99,87607.71,58791.25,17880.43,3135.99,conventional
2015-06-07,1.12,80751.29,61245.49,7237.55,6655.69,conventional
2015-05-31,0.97,76689.38,57373.57,7421.36,4028.3,conventional
2015-05-24,1.03,83209.77,54825.95,14839.33,6037.23,conventional
2015-05-17,0.96,77987.53,61319.66,7393.99,2919.87,conventional
2015-05-10,1.06,95788.53,62505.3,15896.54,7891.16,conventional
2015-05-03,1,85466.99,66880.12,7942.34,4289.72,conventional
2015-04-26,0.96,88111.17,69544.59,7985.48,3401.65,conventional
2015-04-19,0.99,89694.96,56843.62,21630.9,3260.22,conventional
2015-04-12,1.19,66246.3,44469.15,8506.36,7523.01,conventional
2015-04-05,1.09,76704.46,57339.81,9060.49,3790.38,conventional
2015-03-29,0.98,74543.98,59532.94,7119.52,3101.98,conventional
2015-03-22,1.17,61419.11,44227.33,6589.77,7290.24,conventional
2015-03-15,1,65918.28,51472.29,7018.29,2981.8,conventional
2015-03-08,1.14,65350.24,45879.84,7206.22,7403.75,conventional
2015-03-01,1.06,75046.37,40578,23738.56,3491.83,conventional
2015-02-22,0.99,76836.1,50872,16374.74,2122.09,conventional
2015-02-15,1.14,61221.98,41547.87,7840.31,6492.94,conventional
2015-02-08,1.07,69970.75,54229.34,9647.24,3047,conventional
2015-02-01,0.91,113578.24,67496.3,36532.33,2904.77,conventional
2015-01-25,1.03,66069.21,51922.06,7555.95,2061.16,conventional
2015-01-18,1.08,62870.49,50354.95,6342.37,2257.23,conventional
2015-01-11,1.18,57355.52,38112.34,10997.54,3321.89,conventional
2015-01-04,1.01,80034.32,44562.12,24964.23,2752.35,conventional
2015-12-27,1.13,450816.39,3886.27,346964.7,13952.56,conventional
2015-12-20,1.07,489802.88,4912.37,390100.99,5887.72,conventional
2015-12-13,1.01,549945.76,4641.02,455362.38,219.4,conventional
2015-12-06,1.02,488679.31,5126.32,407520.22,142.99,conventional
2015-11-29,1.19,350559.81,3609.25,272719.08,105.86,conventional
2015-11-22,1.07,466759.99,4457.62,383420.46,233.74,conventional
2015-11-15,1.05,513738.98,5310.32,420936.8,139.71,conventional
2015-11-08,1.04,641759.57,5304.09,542880.92,231.74,conventional
2015-11-01,1.06,553096.84,4886.14,449532.49,170.29,conventional
2015-10-25,1.02,534249.47,4005.39,430725.78,191.31,conventional
2015-10-18,0.94,725296.29,6409.86,627503.98,332.87,conventional
2015-10-11,1.14,485706.68,5145.86,378295.9,355.03,conventional
2015-10-04,1.07,536479.42,5804.31,427358.64,277.56,conventional
2015-09-27,1.07,553307.04,5210.84,463079.81,289.49,conventional
2015-09-20,1.15,498640.23,4376.74,398673.48,418.46,conventional
2015-09-13,1.03,655682.95,5422.29,560792.23,353.77,conventional
2015-09-06,1.11,577774.74,4237.44,477867.83,496.62,conventional
2015-08-30,1.13,526664.87,4177.03,438502.9,554.04,conventional
2015-08-23,1.07,589471.32,4744.11,488292.1,608.61,conventional
2015-08-16,1.15,565795.06,4460.85,464476.33,748.65,conventional
2015-08-09,1.07,690517.19,4173.23,590998.11,827.06,conventional
2015-08-02,1.17,571994.5,4442.2,468591.76,1451.95,conventional
2015-07-26,1.28,500233.69,4299.27,393281.62,1957.86,conventional
2015-07-19,1.18,597168.12,4720.08,477629.8,5071.77,conventional
2015-07-12,1.14,634515.74,5332.07,471639.53,9361.55,conventional
2015-07-05,1.27,582909.73,4743.46,418251.03,11053.82,conventional
2015-06-28,1.25,560494.92,4688.28,403230.6,9120.3,conventional
2015-06-21,1.24,543504.66,3582.45,404908.53,8899.2,conventional
2015-06-14,1.08,684346.48,5104.19,521254.77,6545.42,conventional
2015-06-07,1.25,562542.86,4034.11,421007.42,93.05,conventional
2015-05-31,1.26,565160.95,4128.35,418105.36,108.6,conventional
2015-05-24,1.14,633521.98,4601.66,490485.76,276.82,conventional
2015-05-17,1.26,534488.54,4285.68,380514.08,162.66,conventional
2015-05-10,1.14,625558.14,4601.5,476827.52,131.47,conventional
2015-05-03,1.17,552368.94,3828.64,429586.28,239.76,conventional
2015-04-26,1.28,465911.37,3915.3,352464.49,131.46,conventional
2015-04-19,1.15,504619.83,4013.71,384880.49,162.91,conventional
2015-04-12,1.26,408485.16,3575.89,294164.23,106.09,conventional
2015-04-05,1.27,449818.01,3657.54,330424.74,99.92,conventional
2015-03-29,1.19,453631.25,3619.31,339299.3,151.36,conventional
2015-03-22,1.18,453173.22,5956.18,344396.92,155.94,conventional
2015-03-15,1.25,417750.36,6085.75,308996.7,111.59,conventional
2015-03-08,1.17,408403.96,3425.53,290512.65,78.96,conventional
2015-03-01,1.11,485736.1,4106.42,383573.77,192.98,conventional
2015-02-22,1.23,355432.28,3232.68,251341.3,142.33,conventional
2015-02-15,1.2,399883.99,3794.97,281106.45,143.41,conventional
2015-02-08,1.04,609985.34,7653.19,495731.7,383.73,conventional
2015-02-01,1.22,490022.14,6082.88,373452.06,272.81,conventional
2015-01-25,1.17,409343.56,4730.77,288094.65,45.98,conventional
2015-01-18,1.23,401331.33,4383.76,287778.52,132.53,conventional
2015-01-11,1.1,437771.89,5548.11,320577.36,121.81,conventional
2015-01-04,1.02,491738,7193.87,396752.18,128.82,conventional
2015-12-27,1.35,96233.08,1367.81,39542.83,85.76,conventional
2015-12-20,1.37,90867.51,1164.92,38430.71,106.67,conventional
2015-12-13,1.35,98473.23,1421.12,40783.22,66.45,conventional
2015-12-06,1.23,108457.82,1737.71,58197.34,167.12,conventional
2015-11-29,1.39,79973.14,1514.69,35682.71,113.49,conventional
2015-11-22,1.4,90242.31,1711.77,38780.66,107.53,conventional
2015-11-15,1.36,99703.72,1803.78,41457.12,107.48,conventional
2015-11-08,1.3,111038.95,1288.83,49507.25,55,conventional
2015-11-01,1.23,118541.11,2181.17,61874.92,186.4,conventional
2015-10-25,1.36,99554.55,1545.57,36645.91,79.64,conventional
2015-10-18,1.29,106083.75,1536.35,40701.65,58.28,conventional
2015-10-11,1.3,109153.84,2170.49,50862,96.18,conventional
2015-10-04,1.33,98900.48,3020.03,38353.35,101.43,conventional
2015-09-27,1.31,90745.72,1908.16,60292.79,106.47,conventional
2015-09-20,1.54,60624.47,1445.25,39831.66,88.61,conventional
2015-09-13,1.59,73043.2,1572.71,48468.73,134.33,conventional
2015-09-06,1.56,76139.58,1471.69,49388.48,173.32,conventional
2015-08-30,1.38,83731.42,1406.11,61600.62,241.67,conventional
2015-08-23,1.49,68953.29,1287.09,43655.31,170.47,conventional
2015-08-16,1.5,69798.09,1230.78,45937.58,258,conventional
2015-08-09,1.47,81830.13,1139.74,56289.28,349.19,conventional
2015-08-02,1.47,78162.92,1447.81,44620.7,471.55,conventional
2015-07-26,1.39,91825.07,1679.28,45615.48,741.77,conventional
2015-07-19,1.36,128846.15,1165.75,54492.85,2205.14,conventional
2015-07-12,1.45,127351.46,1119.38,47294.67,4714.73,conventional
2015-07-05,1.47,140413.9,1503.1,56925.46,6707.85,conventional
2015-06-28,1.36,137246.7,1235.69,51801.73,5397.32,conventional
2015-06-21,1.5,108655.36,1254.83,47845.57,5424.52,conventional
2015-06-14,1.34,149376.79,1183.9,48286.51,4432.54,conventional
2015-06-07,1.38,130908.11,779.02,57999.61,138.81,conventional
2015-05-31,1.4,130841.08,1039.49,54249.06,79.38,conventional
2015-05-24,1.43,121942.61,1033.76,55018.95,103.94,conventional
2015-05-17,1.35,137050.23,932.52,61668.49,56.53,conventional
2015-05-10,1.33,170547.18,1321.83,73754.3,185.16,conventional
2015-05-03,1.42,136771.79,946.38,50266.22,81.86,conventional
2015-04-26,1.41,136964.3,1117.56,49556.91,106.4,conventional
2015-04-19,1.42,139612.52,1021.72,52954.82,59.18,conventional
2015-04-12,1.42,118172.53,884.02,45443.61,92.75,conventional
2015-04-05,1.44,124145.62,969.27,51023.86,95.69,conventional
2015-03-29,1.39,119890.65,1352.63,48430.03,80.52,conventional
2015-03-22,1.4,119902.96,3090.55,45420.06,48.2,conventional
2015-03-15,1.47,103413.11,3500.48,45688.61,66.42,conventional
2015-03-08,1.35,125724.96,1072.46,61973.56,102.31,conventional
2015-03-01,1.43,112363.86,1032.92,41685.04,104.16,conventional
2015-02-22,1.41,109546.92,1709.23,45393.96,131.72,conventional
2015-02-15,1.44,100207.14,1520.76,43271.55,57.76,conventional
2015-02-08,1.36,132760.1,1822.41,66261.92,161.96,conventional
2015-02-01,1.33,153920.35,2117.73,64770.55,112.49,conventional
2015-01-25,1.5,114052.94,1321.19,54007.48,74.53,conventional
2015-01-18,1.52,107040.29,1625.26,61859.85,133.29,conventional
2015-01-11,1.54,106221.32,1642.25,50985.2,79.61,conventional
2015-01-04,1.4,116253.44,3267.97,55693.04,109.55,conventional
2015-12-27,0.9,5040365.47,1833946.59,1760956.02,232755.85,conventional
2015-12-20,0.94,4695737.21,1676601.43,1543280.76,266689.82,conventional
2015-12-13,0.87,5259354.3,1806690.08,1627240.76,232985.13,conventional
2015-12-06,0.78,5775536.27,1943065.5,2100246.17,221957.26,conventional
2015-11-29,0.91,4575710.62,1461699.38,1810202.7,222311.07,conventional
2015-11-22,0.92,4804278.16,1602215.57,1917124.52,215632.16,conventional
2015-11-15,0.83,5755190.69,2243013.44,2164098.99,195159.32,conventional
2015-11-08,0.98,5148983.51,2317858.81,1758964.54,216523.58,conventional
2015-11-01,0.95,5830427.96,2369824.75,2596785.28,211901.97,conventional
2015-10-25,1.12,4592461.81,1733791.31,2025016.15,215622.63,conventional
2015-10-18,1.07,4999031.79,1847991.31,2286235.79,217814.17,conventional
2015-10-11,1.08,5063309.38,1757211.58,2530023.18,221032.74,conventional
2015-10-04,1.02,4943781.29,1461112.39,2788317.94,222260.58,conventional
2015-09-27,1.04,5216784.63,1860050.39,2635028.38,206460.07,conventional
2015-09-20,1.14,4759791.13,1702965.49,2230693.51,273922.36,conventional
2015-09-13,1.13,5106508.12,1863270.81,2388023.33,270794.34,conventional
2015-09-06,1.09,5806392.78,2859325.91,2077193.6,240185,conventional
2015-08-30,1.08,5647385.15,3104607.82,1660274.32,233027.36,conventional
2015-08-23,1.18,5193221,2626977.95,1798911.33,222082.91,conventional
2015-08-16,1.11,5616434.08,3098708.55,1731349,208724.73,conventional
2015-08-09,1.1,6232081.27,3260775.73,2196704.97,193831.6,conventional
2015-08-02,1.16,5428238.87,2940145.82,1737845.94,183471.03,conventional
2015-07-26,1.13,5557616.27,3112921.78,1636659.9,209427.05,conventional
2015-07-19,1.18,5225200.52,2805887.74,1629871.75,188207.47,conventional
2015-07-12,1.13,5451636.92,2747299.98,1923893.11,157478.05,conventional
2015-07-05,1.12,6718011.83,3581149.88,2120303.06,254187.47,conventional
2015-06-28,1.1,5641742.02,3163839.74,1610910.07,212173.21,conventional
2015-06-21,1.07,5952597.29,3328631.93,1743509.25,218423.77,conventional
2015-06-14,0.97,6741662.31,4075881.34,1771908.98,210670.82,conventional
2015-06-07,0.98,6374842.9,3614314.44,1860329.3,221330.48,conventional
2015-05-31,0.98,6236903.31,3620440.35,1826496.62,209443.33,conventional
2015-05-24,1.1,5621713.64,2978396.74,1873205.91,195991.06,conventional
2015-05-17,1.08,5289138.5,2923673.93,1649623.66,168597.35,conventional
2015-05-10,0.93,6650357.96,4085858.78,1735132.32,194575.97,conventional
2015-05-03,0.88,8567534.49,4340117.03,3403145.1,192473.92,conventional
2015-04-26,1.15,4923565.04,2421009.67,1729486.77,196469.02,conventional
2015-04-19,1.05,5871080.81,3024466.22,2070974.14,177354.82,conventional
2015-04-12,1.06,5636644.51,2848184,1988818.23,185198.77,conventional
2015-04-05,1.12,5467155.55,2754464.87,1886168.89,225396.85,conventional
2015-03-29,1.1,5341821.67,2609532.63,1869271.31,193577.55,conventional
2015-03-22,1.06,5571812.77,2348618.25,2314393.94,195791.46,conventional
2015-03-15,1.06,5557163.11,2962520.41,1737353.95,194761.49,conventional
2015-03-08,0.96,5990243.89,3484274.6,1649936.05,184720.58,conventional
2015-03-01,0.84,6700134.25,3516551.29,2460932.41,170580.54,conventional
2015-02-22,0.96,5951871.32,3210177.22,1933699.49,172675.88,conventional
2015-02-15,0.96,5699944.93,3315163.6,1620462.13,169907.54,conventional
2015-02-08,0.91,5871224.58,2908845.38,2200393.89,149458.93,conventional
2015-02-01,0.85,9032180.67,4794142.14,3460743.8,177145.49,conventional
2015-01-25,1.06,4929884.26,2380955.61,1827783.28,150535.5,conventional
2015-01-18,1.02,5570915.26,2780859.66,2108450.36,121614.31,conventional
2015-01-11,0.92,6024932.34,2889591.29,2485720.1,103573.42,conventional
2015-01-04,0.93,5777334.9,2843648.26,2267755.26,137479.64,conventional
2015-12-27,0.96,156698.24,33070.27,62956.24,23041.69,conventional
2015-12-20,0.98,139917.89,29500.04,55520.58,19842.51,conventional
2015-12-13,0.95,157146.19,31727.46,62544.19,23842.95,conventional
2015-12-06,0.99,156114.08,34117.36,63074.74,28482.72,conventional
2015-11-29,0.95,138858.86,31911.11,53470.54,22685.8,conventional
2015-11-22,1,133618.33,30028.69,53644.97,24221.58,conventional
2015-11-15,1.01,169281.16,28543.88,80244.55,36860.51,conventional
2015-11-08,1.03,164322.04,30860.74,54456.01,49282.25,conventional
2015-11-01,1.11,171793.87,33371.6,47079.68,53968.86,conventional
2015-10-25,1.27,140920.61,23093.86,38356.83,44882.51,conventional
2015-10-18,1.26,156565.98,22805.02,54518.85,44707.32,conventional
2015-10-11,1.14,167396.56,22941.59,45669.33,58989.81,conventional
2015-10-04,1.22,146737.74,23648.94,44671.1,40366.93,conventional
2015-09-27,1.09,168780.22,24397.92,54210.03,58551.64,conventional
2015-09-20,1.2,161443.98,25922.66,46906.06,41261.83,conventional
2015-09-13,1.19,171077.53,30122.92,41616.87,36469.43,conventional
2015-09-06,1.01,227728.43,35126.74,62187.49,64372.34,conventional
2015-08-30,1.2,179026.88,33511.97,41700.97,38130.29,conventional
2015-08-23,1.15,203298.37,32280.63,50475.57,41677.6,conventional
2015-08-16,1.24,178525.52,32128.6,42068.1,41343.26,conventional
2015-08-09,1.21,173059.32,29915.8,43782.95,37614.3,conventional
2015-08-02,1.24,179321.9,30200.32,48686.77,39734.9,conventional
2015-07-26,1.23,173896.82,30901.1,39607.94,39260.71,conventional
2015-07-19,1.19,187575.03,33382.11,49072.16,39515.29,conventional
2015-07-12,1.18,182856.82,23580.7,56317.45,35107.11,conventional
2015-07-05,1.18,216118.9,30803.29,73470.29,40602.17,conventional
2015-06-28,1.17,193654.01,23693.74,58162.31,42044.35,conventional
2015-06-21,1.17,201173.1,30951.17,58913.49,38260.1,conventional
2015-06-14,1.15,207093.88,31247.67,64828.77,41193.22,conventional
2015-06-07,1.15,199980.3,43524.21,45226.73,38578.8,conventional
2015-05-31,1.19,194630.86,45688.14,43259.91,44529.73,conventional
2015-05-24,1.2,212527.72,43628.72,59207.62,46014.43,conventional
2015-05-17,1.21,190799.99,44340.34,46424.29,40248.52,conventional
2015-05-10,1.19,192767.09,47626.37,42863.8,38370.27,conventional
2015-05-03,1,261492.2,50203.31,69446.61,77627.49,conventional
2015-04-26,1.2,182141.55,39481.13,44796.9,37961.14,conventional
2015-04-19,1.18,180944.22,38330.46,41954.32,36041.12,conventional
