submission_id,vignette,background_correct,RT,age,comments,item_version,correct_answer,education,gender,languages,question,response,timeSpent,trial_name,trial_number,trial_type,condition,proportion_correct,outlier_subject
187,2,TRUE,3066,34,NA,6,FALSE,Graduated High School,female,English,The Emperor of Canada isn’t fond of sushi.,FALSE,3.74595,main_trials,9,main,Condition 6,1,FALSE
187,4,TRUE,8844,34,NA,10,FALSE,Graduated High School,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,3.74595,main_trials,13,main,Condition 10,1,FALSE
187,5,TRUE,4994,34,NA,9,FALSE,Graduated High School,female,English,"The volcanoes of Germany, they do not threaten Leipzig.",TRUE,3.74595,main_trials,19,main,Condition 9,1,FALSE
186,2,TRUE,2272,29,NA,6,FALSE,Graduated High School,male,English,The Emperor of Canada isn’t fond of sushi.,TRUE,3.12791666666667,main_trials,3,main,Condition 6,0.7142857142857143,FALSE
186,3,TRUE,2175,29,NA,10,FALSE,Graduated High School,male,English,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",FALSE,3.12791666666667,main_trials,7,main,Condition 10,0.7142857142857143,FALSE
186,1,TRUE,2173,29,NA,1,FALSE,Graduated High School,male,English,"France has a king, and he is bald.",FALSE,3.12791666666667,main_trials,9,main,Condition 1,0.7142857142857143,FALSE
186,5,TRUE,1810,29,NA,9,FALSE,Graduated High School,male,English,"The volcanoes of Germany, they do not threaten Leipzig.",FALSE,3.12791666666667,main_trials,13,main,Condition 9,0.7142857142857143,FALSE
185,2,TRUE,4376,26,NA,0,FALSE,NA,male,english,The Emperor of Canada is fond of sushi.,FALSE,2.76205,main_trials,7,main,Condition 0,0.8571428571428571,FALSE
185,3,TRUE,11623,26,NA,10,FALSE,NA,male,english,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",FALSE,2.76205,main_trials,9,main,Condition 10,0.8571428571428571,FALSE
185,4,TRUE,6623,26,NA,1,FALSE,NA,male,english,"There is a rainforest in Belgium, and it provides a habitat for many species.",TRUE,2.76205,main_trials,13,main,Condition 1,0.8571428571428571,FALSE
185,1,TRUE,4384,26,NA,9,FALSE,NA,male,english,"The King of France, he did not call Emmanuel Macron last night.",FALSE,2.76205,main_trials,19,main,Condition 9,0.8571428571428571,FALSE
184,5,TRUE,2084,43,NA,1,FALSE,Higher Degree,female,English,"There are volcanoes in Germany, and they dominate the landscape.",FALSE,2.47605,main_trials,3,main,Condition 1,0.9285714285714286,FALSE
184,3,TRUE,4865,43,NA,9,FALSE,Higher Degree,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,2.47605,main_trials,7,main,Condition 9,0.9285714285714286,FALSE
184,1,TRUE,2933,43,NA,0,FALSE,Higher Degree,female,English,The king of France is bald.,FALSE,2.47605,main_trials,9,main,Condition 0,0.9285714285714286,FALSE
184,2,TRUE,1885,43,NA,6,FALSE,Higher Degree,female,English,The Emperor of Canada isn’t fond of sushi.,FALSE,2.47605,main_trials,13,main,Condition 6,0.9285714285714286,FALSE
184,4,TRUE,7400,43,NA,10,FALSE,Higher Degree,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,2.47605,main_trials,19,main,Condition 10,0.9285714285714286,FALSE
183,2,TRUE,15773,34,NA,6,FALSE,Graduated High School,female,English,The Emperor of Canada isn’t fond of sushi.,TRUE,6.50131666666667,main_trials,7,main,Condition 6,0.9285714285714286,FALSE
183,3,TRUE,22109,34,NA,10,FALSE,Graduated High School,female,English,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",FALSE,6.50131666666667,main_trials,19,main,Condition 10,0.9285714285714286,FALSE
182,3,TRUE,20565,29,"It was interesting, and made re-read questions to make sure they weren't tricks. I hope I got them all correct.",6,FALSE,Graduated High School,female,English,The Pope’s wife isn’t a lawyer.,TRUE,5.03325,main_trials,3,main,Condition 6,0.9285714285714286,FALSE
182,2,TRUE,3130,29,"It was interesting, and made re-read questions to make sure they weren't tricks. I hope I got them all correct.",1,FALSE,Graduated High School,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,5.03325,main_trials,7,main,Condition 1,0.9285714285714286,FALSE
182,5,TRUE,6979,29,"It was interesting, and made re-read questions to make sure they weren't tricks. I hope I got them all correct.",10,FALSE,Graduated High School,female,English,"Leipzig, it is not threatened by the volcanoes of Germany.",TRUE,5.03325,main_trials,13,main,Condition 10,0.9285714285714286,FALSE
182,1,TRUE,44393,29,"It was interesting, and made re-read questions to make sure they weren't tricks. I hope I got them all correct.",0,FALSE,Graduated High School,female,English,The king of France is bald.,FALSE,5.03325,main_trials,19,main,Condition 0,0.9285714285714286,FALSE
181,5,TRUE,8320,24,Worked well,9,FALSE,Graduated College,male,English,"The volcanoes of Germany, they do not threaten Leipzig.",FALSE,5.58116666666667,main_trials,3,main,Condition 9,0.7142857142857143,FALSE
181,4,TRUE,6775,24,Worked well,10,FALSE,Graduated College,male,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",FALSE,5.58116666666667,main_trials,13,main,Condition 10,0.7142857142857143,FALSE
181,1,TRUE,4376,24,Worked well,0,FALSE,Graduated College,male,English,The king of France is bald.,FALSE,5.58116666666667,main_trials,19,main,Condition 0,0.7142857142857143,FALSE
180,1,TRUE,4825,48,"A surprisingly tricky study! Thoroughly enjoyed completing it, despite several red herrings!!",1,FALSE,Higher Degree,female,English,"France has a king, and he is bald.",FALSE,4.68158333333333,main_trials,3,main,Condition 1,0.8571428571428571,FALSE
180,3,TRUE,2690,48,"A surprisingly tricky study! Thoroughly enjoyed completing it, despite several red herrings!!",6,FALSE,Higher Degree,female,English,The Pope’s wife isn’t a lawyer.,FALSE,4.68158333333333,main_trials,7,main,Condition 6,0.8571428571428571,FALSE
180,2,TRUE,6553,48,"A surprisingly tricky study! Thoroughly enjoyed completing it, despite several red herrings!!",9,FALSE,Higher Degree,female,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,4.68158333333333,main_trials,9,main,Condition 9,0.8571428571428571,FALSE
180,5,TRUE,6012,48,"A surprisingly tricky study! Thoroughly enjoyed completing it, despite several red herrings!!",10,FALSE,Higher Degree,female,English,"Leipzig, it is not threatened by the volcanoes of Germany.",TRUE,4.68158333333333,main_trials,13,main,Condition 10,0.8571428571428571,FALSE
180,4,TRUE,4076,48,"A surprisingly tricky study! Thoroughly enjoyed completing it, despite several red herrings!!",0,FALSE,Higher Degree,female,English,The Belgian rainforest provides a habitat for many species.,TRUE,4.68158333333333,main_trials,19,main,Condition 0,0.8571428571428571,FALSE
179,3,TRUE,3487,32,NA,0,FALSE,Graduated College,female,English,The Pope’s wife is a lawyer.,FALSE,1.46096666666667,main_trials,3,main,Condition 0,1,FALSE
179,2,TRUE,1305,32,NA,1,FALSE,Graduated College,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,1.46096666666667,main_trials,7,main,Condition 1,1,FALSE
179,4,TRUE,2116,32,NA,10,FALSE,Graduated College,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",FALSE,1.46096666666667,main_trials,9,main,Condition 10,1,FALSE
179,1,TRUE,3098,32,NA,9,FALSE,Graduated College,female,English,"The King of France, he did not call Emmanuel Macron last night.",TRUE,1.46096666666667,main_trials,13,main,Condition 9,1,FALSE
179,5,TRUE,2962,32,NA,6,FALSE,Graduated College,female,English,The volcanoes of Germany do not dominate the landscape.,TRUE,1.46096666666667,main_trials,19,main,Condition 6,1,FALSE
178,1,TRUE,8880,35,NA,6,FALSE,Graduated College,female,English,The King of France isn’t bald.,FALSE,3.30256666666667,main_trials,3,main,Condition 6,1,FALSE
178,3,TRUE,2863,35,NA,0,FALSE,Graduated College,female,English,The Pope’s wife is a lawyer.,FALSE,3.30256666666667,main_trials,7,main,Condition 0,1,FALSE
178,4,TRUE,3008,35,NA,1,FALSE,Graduated College,female,English,"There is a rainforest in Belgium, and it provides a habitat for many species.",FALSE,3.30256666666667,main_trials,9,main,Condition 1,1,FALSE
178,2,TRUE,8640,35,NA,10,FALSE,Graduated College,female,English,"Dresden, it is not the home of the Emperor of Canada for the summer.",TRUE,3.30256666666667,main_trials,13,main,Condition 10,1,FALSE
178,5,TRUE,7728,35,NA,9,FALSE,Graduated College,female,English,"The volcanoes of Germany, they do not threaten Leipzig.",FALSE,3.30256666666667,main_trials,19,main,Condition 9,1,FALSE
177,3,TRUE,6042,23,NA,10,FALSE,Graduated College,female,english,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",FALSE,4.08375,main_trials,3,main,Condition 10,0.9285714285714286,FALSE
177,4,TRUE,3341,23,NA,0,FALSE,Graduated College,female,english,The Belgian rainforest provides a habitat for many species.,TRUE,4.08375,main_trials,7,main,Condition 0,0.9285714285714286,FALSE
177,1,TRUE,2917,23,NA,6,FALSE,Graduated College,female,english,The King of France isn’t bald.,TRUE,4.08375,main_trials,13,main,Condition 6,0.9285714285714286,FALSE
177,5,TRUE,4373,23,NA,1,FALSE,Graduated College,female,english,"There are volcanoes in Germany, and they dominate the landscape.",FALSE,4.08375,main_trials,19,main,Condition 1,0.9285714285714286,FALSE
176,3,TRUE,10647,29,NA,9,FALSE,Graduated High School,male,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,4.68596666666667,main_trials,3,main,Condition 9,0.7857142857142857,FALSE
176,2,TRUE,12713,29,NA,10,FALSE,Graduated High School,male,English,"Dresden, it is not the home of the Emperor of Canada for the summer.",FALSE,4.68596666666667,main_trials,9,main,Condition 10,0.7857142857142857,FALSE
175,5,TRUE,9349,32,NA,1,FALSE,Graduated College,female,English,"There are volcanoes in Germany, and they dominate the landscape.",FALSE,3.90543333333333,main_trials,7,main,Condition 1,0.8571428571428571,FALSE
175,3,TRUE,5959,32,NA,9,FALSE,Graduated College,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",TRUE,3.90543333333333,main_trials,9,main,Condition 9,0.8571428571428571,FALSE
175,2,TRUE,8258,32,NA,10,FALSE,Graduated College,female,English,"Dresden, it is not the home of the Emperor of Canada for the summer.",FALSE,3.90543333333333,main_trials,13,main,Condition 10,0.8571428571428571,FALSE
174,3,TRUE,5023,51,NA,6,FALSE,Graduated High School,male,English,The Pope’s wife isn’t a lawyer.,FALSE,4.8326,main_trials,3,main,Condition 6,0.7857142857142857,FALSE
174,5,TRUE,5085,51,NA,0,FALSE,Graduated High School,male,English,The volcanoes of Germany dominate the landscape.,TRUE,4.8326,main_trials,7,main,Condition 0,0.7857142857142857,FALSE
174,4,TRUE,13621,51,NA,10,FALSE,Graduated High School,male,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,4.8326,main_trials,9,main,Condition 10,0.7857142857142857,FALSE
174,1,TRUE,11986,51,NA,9,FALSE,Graduated High School,male,English,"The King of France, he did not call Emmanuel Macron last night.",FALSE,4.8326,main_trials,13,main,Condition 9,0.7857142857142857,FALSE
173,1,TRUE,3157,20,NA,1,FALSE,Graduated High School,female,English,"France has a king, and he is bald.",FALSE,3.49776666666667,main_trials,3,main,Condition 1,1,FALSE
173,2,TRUE,5458,20,NA,9,FALSE,Graduated High School,female,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,3.49776666666667,main_trials,7,main,Condition 9,1,FALSE
173,5,TRUE,6533,20,NA,10,FALSE,Graduated High School,female,English,"Leipzig, it is not threatened by the volcanoes of Germany.",FALSE,3.49776666666667,main_trials,9,main,Condition 10,1,FALSE
173,4,TRUE,6165,20,NA,6,FALSE,Graduated High School,female,English,The Belgian rainforest doesn’t provide a habitat for many species.,FALSE,3.49776666666667,main_trials,13,main,Condition 6,1,FALSE
173,3,TRUE,1357,20,NA,0,FALSE,Graduated High School,female,English,The Pope’s wife is a lawyer.,FALSE,3.49776666666667,main_trials,19,main,Condition 0,1,FALSE
172,2,TRUE,2972,19,NA,0,FALSE,Graduated High School,male,English,The Emperor of Canada is fond of sushi.,FALSE,4.35336666666667,main_trials,13,main,Condition 0,0.9285714285714286,FALSE
171,4,TRUE,5366,41,NA,1,FALSE,Graduated High School,male,English,"There is a rainforest in Belgium, and it provides a habitat for many species.",FALSE,3.46208333333333,main_trials,3,main,Condition 1,0.9285714285714286,FALSE
171,2,TRUE,7858,41,NA,6,FALSE,Graduated High School,male,English,The Emperor of Canada isn’t fond of sushi.,FALSE,3.46208333333333,main_trials,7,main,Condition 6,0.9285714285714286,FALSE
171,1,TRUE,4031,41,NA,0,FALSE,Graduated High School,male,English,The king of France is bald.,FALSE,3.46208333333333,main_trials,9,main,Condition 0,0.9285714285714286,FALSE
171,3,TRUE,16791,41,NA,10,FALSE,Graduated High School,male,English,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",TRUE,3.46208333333333,main_trials,13,main,Condition 10,0.9285714285714286,FALSE
171,5,TRUE,10046,41,NA,9,FALSE,Graduated High School,male,English,"The volcanoes of Germany, they do not threaten Leipzig.",FALSE,3.46208333333333,main_trials,19,main,Condition 9,0.9285714285714286,FALSE
170,3,TRUE,3831,42,NA,9,FALSE,Graduated High School,male,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,4.0559,main_trials,3,main,Condition 9,1,FALSE
170,5,TRUE,5002,42,NA,6,FALSE,Graduated High School,male,English,The volcanoes of Germany do not dominate the landscape.,TRUE,4.0559,main_trials,7,main,Condition 6,1,FALSE
170,2,TRUE,2349,42,NA,1,FALSE,Graduated High School,male,English,"Canada has an emperor, and he is fond of sushi.",FALSE,4.0559,main_trials,9,main,Condition 1,1,FALSE
170,4,TRUE,6672,42,NA,10,FALSE,Graduated High School,male,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,4.0559,main_trials,13,main,Condition 10,1,FALSE
170,1,TRUE,3016,42,NA,0,FALSE,Graduated High School,male,English,The king of France is bald.,FALSE,4.0559,main_trials,19,main,Condition 0,1,FALSE
169,2,TRUE,2045,32,n/a,1,FALSE,Graduated College,male,english,"Canada has an emperor, and he is fond of sushi.",FALSE,4.77051666666667,main_trials,13,main,Condition 1,0.7857142857142857,FALSE
169,3,TRUE,10263,32,n/a,10,FALSE,Graduated College,male,english,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",TRUE,4.77051666666667,main_trials,19,main,Condition 10,0.7857142857142857,FALSE
168,2,TRUE,3297,30,NA,0,FALSE,Graduated College,male,"English, Italian",The Emperor of Canada is fond of sushi.,FALSE,2.87746666666667,main_trials,3,main,Condition 0,0.9285714285714286,FALSE
168,4,TRUE,3316,30,NA,1,FALSE,Graduated College,male,"English, Italian","There is a rainforest in Belgium, and it provides a habitat for many species.",FALSE,2.87746666666667,main_trials,7,main,Condition 1,0.9285714285714286,FALSE
168,5,TRUE,8512,30,NA,6,FALSE,Graduated College,male,"English, Italian",The volcanoes of Germany do not dominate the landscape.,FALSE,2.87746666666667,main_trials,9,main,Condition 6,0.9285714285714286,FALSE
168,1,TRUE,7168,30,NA,9,FALSE,Graduated College,male,"English, Italian","The King of France, he did not call Emmanuel Macron last night.",FALSE,2.87746666666667,main_trials,13,main,Condition 9,0.9285714285714286,FALSE
168,3,TRUE,3987,30,NA,10,FALSE,Graduated College,male,"English, Italian","Angela Merkel, she was not invited by the Pope’s wife for dinner.",FALSE,2.87746666666667,main_trials,19,main,Condition 10,0.9285714285714286,FALSE
167,1,TRUE,3079,41,NA,0,FALSE,Graduated College,male,english,The king of France is bald.,FALSE,4.01475,main_trials,3,main,Condition 0,0.9285714285714286,FALSE
167,2,TRUE,4480,41,NA,1,FALSE,Graduated College,male,english,"Canada has an emperor, and he is fond of sushi.",FALSE,4.01475,main_trials,9,main,Condition 1,0.9285714285714286,FALSE
167,3,TRUE,10063,41,NA,9,FALSE,Graduated College,male,english,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,4.01475,main_trials,19,main,Condition 9,0.9285714285714286,FALSE
166,5,TRUE,2883,34,Thank you for the opportunity.,1,FALSE,Graduated High School,male,English,"There are volcanoes in Germany, and they dominate the landscape.",FALSE,3.02478333333333,main_trials,3,main,Condition 1,0.9285714285714286,FALSE
166,3,TRUE,3252,34,Thank you for the opportunity.,6,FALSE,Graduated High School,male,English,The Pope’s wife isn’t a lawyer.,TRUE,3.02478333333333,main_trials,7,main,Condition 6,0.9285714285714286,FALSE
166,2,TRUE,4388,34,Thank you for the opportunity.,0,FALSE,Graduated High School,male,English,The Emperor of Canada is fond of sushi.,FALSE,3.02478333333333,main_trials,9,main,Condition 0,0.9285714285714286,FALSE
166,1,TRUE,8097,34,Thank you for the opportunity.,10,FALSE,Graduated High School,male,English,"Emmanuel Macron, he did not call the King of France last night.",TRUE,3.02478333333333,main_trials,13,main,Condition 10,0.9285714285714286,FALSE
166,4,TRUE,6674,34,Thank you for the opportunity.,9,FALSE,Graduated High School,male,English,"The Belgian rainforest, it is not the favorite nature spot of Donald Trump.",TRUE,3.02478333333333,main_trials,19,main,Condition 9,0.9285714285714286,FALSE
165,3,TRUE,7647,18,NA,6,FALSE,Graduated High School,female,English/ ASL,The Pope’s wife isn’t a lawyer.,FALSE,1.7966,main_trials,3,main,Condition 6,0.9285714285714286,FALSE
165,2,TRUE,1647,18,NA,9,FALSE,Graduated High School,female,English/ ASL,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,1.7966,main_trials,7,main,Condition 9,0.9285714285714286,FALSE
165,4,TRUE,9277,18,NA,10,FALSE,Graduated High School,female,English/ ASL,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",FALSE,1.7966,main_trials,13,main,Condition 10,0.9285714285714286,FALSE
164,3,TRUE,2704,48,NA,0,FALSE,Graduated High School,female,English,The Pope’s wife is a lawyer.,FALSE,3.43778333333333,main_trials,3,main,Condition 0,0.7857142857142857,FALSE
164,5,TRUE,3206,48,NA,1,FALSE,Graduated High School,female,English,"There are volcanoes in Germany, and they dominate the landscape.",FALSE,3.43778333333333,main_trials,7,main,Condition 1,0.7857142857142857,FALSE
164,4,TRUE,7314,48,NA,10,FALSE,Graduated High School,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,3.43778333333333,main_trials,9,main,Condition 10,0.7857142857142857,FALSE
164,1,TRUE,3395,48,NA,6,FALSE,Graduated High School,female,English,The King of France isn’t bald.,FALSE,3.43778333333333,main_trials,13,main,Condition 6,0.7857142857142857,FALSE
164,2,TRUE,8249,48,NA,9,FALSE,Graduated High School,female,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",TRUE,3.43778333333333,main_trials,19,main,Condition 9,0.7857142857142857,FALSE
163,3,TRUE,5261,28,NA,9,FALSE,Graduated High School,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,2.75621666666667,main_trials,3,main,Condition 9,0.9285714285714286,FALSE
163,1,TRUE,3119,28,NA,6,FALSE,Graduated High School,female,English,The King of France isn’t bald.,FALSE,2.75621666666667,main_trials,7,main,Condition 6,0.9285714285714286,FALSE
163,4,TRUE,18937,28,NA,10,FALSE,Graduated High School,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,2.75621666666667,main_trials,9,main,Condition 10,0.9285714285714286,FALSE
163,2,TRUE,2266,28,NA,1,FALSE,Graduated High School,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,2.75621666666667,main_trials,13,main,Condition 1,0.9285714285714286,FALSE
163,5,TRUE,4941,28,NA,0,FALSE,Graduated High School,female,English,The volcanoes of Germany dominate the landscape.,FALSE,2.75621666666667,main_trials,19,main,Condition 0,0.9285714285714286,FALSE
162,5,TRUE,3971,36,NA,0,FALSE,Graduated High School,male,English,The volcanoes of Germany dominate the landscape.,FALSE,3.63768333333333,main_trials,3,main,Condition 0,0.9285714285714286,FALSE
162,1,TRUE,6600,36,NA,6,FALSE,Graduated High School,male,English,The King of France isn’t bald.,TRUE,3.63768333333333,main_trials,7,main,Condition 6,0.9285714285714286,FALSE
162,4,TRUE,7285,36,NA,9,FALSE,Graduated High School,male,English,"The Belgian rainforest, it is not the favorite nature spot of Donald Trump.",FALSE,3.63768333333333,main_trials,9,main,Condition 9,0.9285714285714286,FALSE
162,3,TRUE,3363,36,NA,1,FALSE,Graduated High School,male,English,"The Pope has a wife, and she is a lawyer.",FALSE,3.63768333333333,main_trials,13,main,Condition 1,0.9285714285714286,FALSE
162,2,TRUE,9793,36,NA,10,FALSE,Graduated High School,male,English,"Dresden, it is not the home of the Emperor of Canada for the summer.",TRUE,3.63768333333333,main_trials,19,main,Condition 10,0.9285714285714286,FALSE
161,3,TRUE,2992,23,NA,6,FALSE,Graduated College,male,English,The Pope’s wife isn’t a lawyer.,TRUE,2.62091666666667,main_trials,3,main,Condition 6,1,FALSE
161,2,TRUE,4460,23,NA,9,FALSE,Graduated College,male,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,2.62091666666667,main_trials,7,main,Condition 9,1,FALSE
161,1,TRUE,3281,23,NA,1,FALSE,Graduated College,male,English,"France has a king, and he is bald.",TRUE,2.62091666666667,main_trials,9,main,Condition 1,1,FALSE
161,4,TRUE,2732,23,NA,0,FALSE,Graduated College,male,English,The Belgian rainforest provides a habitat for many species.,FALSE,2.62091666666667,main_trials,13,main,Condition 0,1,FALSE
161,5,TRUE,9168,23,NA,10,FALSE,Graduated College,male,English,"Leipzig, it is not threatened by the volcanoes of Germany.",FALSE,2.62091666666667,main_trials,19,main,Condition 10,1,FALSE
160,5,TRUE,2869,34,NA,6,FALSE,Graduated College,male,English,The volcanoes of Germany do not dominate the landscape.,TRUE,2.91831666666667,main_trials,7,main,Condition 6,0.7857142857142857,FALSE
160,2,TRUE,3668,34,NA,9,FALSE,Graduated College,male,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,2.91831666666667,main_trials,9,main,Condition 9,0.7857142857142857,FALSE
160,4,TRUE,6254,34,NA,1,FALSE,Graduated College,male,English,"There is a rainforest in Belgium, and it provides a habitat for many species.",FALSE,2.91831666666667,main_trials,13,main,Condition 1,0.7857142857142857,FALSE
160,3,TRUE,10711,34,NA,10,FALSE,Graduated College,male,English,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",TRUE,2.91831666666667,main_trials,19,main,Condition 10,0.7857142857142857,FALSE
159,4,TRUE,12759,28,NA,10,FALSE,Higher Degree,male,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,2.23476666666667,main_trials,3,main,Condition 10,0.7857142857142857,FALSE
159,3,TRUE,2992,28,NA,1,FALSE,Higher Degree,male,English,"The Pope has a wife, and she is a lawyer.",FALSE,2.23476666666667,main_trials,7,main,Condition 1,0.7857142857142857,FALSE
159,1,TRUE,3471,28,NA,0,FALSE,Higher Degree,male,English,The king of France is bald.,FALSE,2.23476666666667,main_trials,13,main,Condition 0,0.7857142857142857,FALSE
159,2,TRUE,4962,28,NA,9,FALSE,Higher Degree,male,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,2.23476666666667,main_trials,19,main,Condition 9,0.7857142857142857,FALSE
158,1,TRUE,3511,64,NA,0,FALSE,Graduated College,male,english,The king of France is bald.,FALSE,2.83773333333333,main_trials,3,main,Condition 0,0.9285714285714286,FALSE
158,3,TRUE,5463,64,NA,10,FALSE,Graduated College,male,english,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",FALSE,2.83773333333333,main_trials,7,main,Condition 10,0.9285714285714286,FALSE
