submission_id,condition,response
323,BM,Mountains
322,BM,Mountains
322,JM,Metal
322,LB,Biology
321,LB,Biology
321,JM,Metal
321,BM,Mountains
320,LB,Logic
320,BM,Beach
320,JM,Jazz
319,JM,Jazz
319,BM,Beach
319,LB,Logic
318,LB,Biology
318,BM,Mountains
318,JM,Jazz
317,JM,Jazz
317,BM,Beach
317,LB,Biology
316,LB,Biology
316,JM,Metal
316,BM,Mountains
315,LB,Biology
315,BM,Mountains
315,JM,Jazz
314,LB,Biology
314,JM,Jazz
314,BM,Mountains
313,LB,Biology
313,JM,Jazz
313,BM,Mountains
312,JM,Metal
312,LB,Biology
312,BM,Beach
311,LB,Logic
311,BM,Mountains
311,JM,Jazz
310,LB,Biology
310,JM,Jazz
310,BM,Mountains
309,LB,Logic
309,JM,Metal
309,BM,Mountains
308,BM,Mountains
308,JM,Jazz
308,LB,Biology
307,BM,Mountains
307,LB,Logic
307,JM,Jazz
306,LB,Logic
306,JM,Jazz
306,BM,Mountains
305,JM,Metal
305,BM,Beach
305,LB,Logic
304,BM,Beach
304,JM,Jazz
304,LB,Logic
303,BM,Beach
303,LB,Logic
303,JM,Metal
302,JM,Jazz
302,LB,Logic
302,BM,Mountains
301,BM,Mountains
301,JM,Jazz
301,LB,Logic
300,JM,Metal
300,BM,Mountains
300,LB,Logic
299,BM,Beach
299,LB,Logic
299,JM,Jazz
298,JM,Jazz
298,BM,Beach
298,LB,Biology
297,LB,Logic
297,JM,Jazz
297,BM,Mountains
296,JM,Jazz
296,BM,Mountains
296,LB,Biology
295,LB,Biology
295,JM,Jazz
295,BM,Mountains
294,LB,Biology
294,BM,Mountains
294,JM,Jazz
293,LB,Biology
293,BM,Mountains
293,JM,Jazz
292,LB,Logic
292,BM,Mountains
292,JM,Metal
291,LB,Biology
291,BM,Mountains
291,JM,Metal
290,LB,Logic
290,JM,Jazz
290,BM,Mountains
289,LB,Biology
289,JM,Metal
289,BM,Beach
288,LB,Logic
288,BM,Mountains
288,JM,Jazz
287,LB,Biology
287,BM,Beach
287,JM,Metal
286,JM,Jazz
286,LB,Biology
286,BM,Beach
285,JM,Jazz
285,BM,Beach
285,LB,Biology
284,JM,Metal
284,BM,Beach
284,LB,Biology
283,LB,Logic
283,BM,Mountains
283,JM,Jazz
282,BM,Mountains
282,JM,Metal
282,LB,Logic
281,JM,Metal
281,LB,Logic
281,BM,Mountains
280,LB,Biology
280,BM,Beach
280,JM,Jazz
279,LB,Logic
279,BM,Mountains
279,JM,Jazz
278,JM,Metal
278,LB,Logic
278,BM,Mountains
