Name,Label,Country_specific,Scale_type,Type,Format,Valid,Invalid,Question,Group
trstep,Trust in the European Parliament,no,ordinal,discrete,numeric-2.0,40924,3463,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the European Parliament?",Group Politics
trstun,Trust in the United Nations,no,ordinal,discrete,numeric-2.0,40928,3459,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the United
Nations?",Group Politics
vote,Voted last national election,no,nominal,discrete,numeric-1.0,43919,468,B13 Some people don't vote nowadays for one reason or another. Did you vote in the last [country] national election in [month/year]?,Group Politics
prtvtbat,"Party voted for in last national election, Austria",yes,nominal,discrete,numeric-2.0,1349,43038,B14AT Which party did you vote for in that election? (Austria),Group Politics
prtvtcbe,"Party voted for in last national election, Belgium",yes,nominal,discrete,numeric-2.0,1268,43119,B14BE Which party did you vote for in that election? (Belgium),Group Politics
prtvtfch,"Party voted for in last national election, Switzerland",yes,nominal,discrete,numeric-2.0,761,43626,B14CH Which party did you vote for in that election? (Switzerland),Group Politics
prtvtdcz,"Party voted for in last national election, Czechia",yes,nominal,discrete,numeric-2.0,1135,43252,B14CZ Which party did you vote for in that election? (Czechia),Group Politics
prtvede1,"Party voted for in last national election 1, Germany",yes,nominal,discrete,numeric-2.0,1835,42552,B14DE Which party did you vote for in that election? (Germany 1),Group Politics
prtvede2,"Party voted for in last national election 2, Germany",yes,nominal,discrete,numeric-2.0,1858,42529,B14DE Which party did you vote for in that election? (Germany 2),Group Politics
prtvtfee,"Party voted for in last national election, Estonia",yes,nominal,discrete,numeric-2.0,1167,43220,B14EE Which party did you vote for in that election? (Estonia),Group Politics
prtvtdes,"Party voted for in last national election, Spain",yes,nominal,discrete,numeric-2.0,1272,43115,B14ES Which party did you vote for in that election? (Spain),Group Politics
prtvtdfi,"Party voted for in last national election, Finland",yes,nominal,discrete,numeric-2.0,1351,43036,B14FI Which party did you vote for in that election? (Finland),Group Politics
prtvtcfr,"Party voted for in last national election, France (ballot 1)",yes,nominal,discrete,numeric-2.0,1059,43328,B14FR Which party did you vote for in that election? (France),Group Politics
prtvtbgb,"Party voted for in last national election, United Kingdom",yes,nominal,discrete,numeric-2.0,1333,43054,B14GB Which party did you vote for in that election? (United Kingdom),Group Politics
prtvtehu,"Party voted for in last national election, Hungary",yes,nominal,discrete,numeric-2.0,868,43519,B14HU Which party did you vote for in that election? (Hungary),Group Politics
prtvtbie,"Party voted for in last national election, Ireland",yes,nominal,discrete,numeric-2.0,1794,42593,B14IE Which party did you vote for in that election? (Ireland),Group Politics
prtvtcil,"Party voted for in last national election, Israel",yes,nominal,discrete,numeric-2.0,1788,42599,B14IL Which party did you vote for in that election? (Israel),Group Politics
prtvtbis,"Party voted for in last national election, Iceland",yes,nominal,discrete,numeric-2.0,707,43680,B14IS Which party did you vote for in that election? (Iceland),Group Politics
prtvtbit,"Party voted for in last national election, Italy",yes,nominal,discrete,numeric-2.0,945,43442,B14IT Which party did you vote for in that election? (Italy),Group Politics
prtvblt1,"Party voted for in last national election 1, Lithuania (first vote, party)",yes,nominal,discrete,numeric-2.0,1027,43360,B14LT1 Which party did you vote for in that election? (Lithuania 1),Group Politics
prtvblt2,"Party voted for in last national election 2, Lithuania (second vote, party)",yes,nominal,discrete,numeric-2.0,1020,43367,B14LT2 Which party did you vote for in that election? (Lithuania 2),Group Politics
prtvblt3,"Party voted for in last national election 3, Lithuania (third vote, party)",yes,nominal,discrete,numeric-2.0,1049,43338,B14LT3 Which party did you vote for in that election? (Lithuania 3),Group Politics
prtvtfnl,"Party voted for in last national election, Netherlands",yes,nominal,discrete,numeric-2.0,1180,43207,B14NL Which party did you vote for in that election? (Netherlands),Group Politics
prtvtbno,"Party voted for in last national election, Norway",yes,nominal,discrete,numeric-2.0,1153,43234,B14NO Which party did you vote for in that election? (Norway),Group Politics
prtvtdpl,"Party voted for in last national election, Poland",yes,nominal,discrete,numeric-2.0,1048,43339,B14PL Which party did you vote for in that election? (Poland),Group Politics
prtvtcpt,"Party voted for in last national election, Portugal",yes,nominal,discrete,numeric-2.0,763,43624,B14PT Which party did you vote for in that election? (Portugal),Group Politics
prtvtdru,"Party voted for in last national election, Russian Federation",yes,nominal,discrete,numeric-2.0,1173,43214,B14RU Which party did you vote for in that election? (Russian Federation),Group Politics
prtvtbse,"Party voted for in last national election, Sweden",yes,nominal,discrete,numeric-2.0,1262,43125,B14SE Which party did you vote for in that election? (Sweden),Group Politics
prtvtesi,"Party voted for in last national election, Slovenia",yes,nominal,discrete,numeric-2.0,650,43737,B14SI Which party did you vote for in that election? (Slovenia),Group Politics
contplt,Contacted politician or government official last 12 months,no,binary,discrete,numeric-1.0,44265,122,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Have you... ...contacted a politician, government or local government official?",Group Politics
wrkprty,Worked in political party or action group last 12 months,no,binary,discrete,numeric-1.0,44275,112,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worked in a political party or action group?",Group Politics
wrkorg,Worked in another organisation or association last 12 months,no,binary,discrete,numeric-1.0,44258,129,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worked in another organisation or association?",Group Politics
badge,Worn or displayed campaign badge/sticker last 12 months,no,binary,discrete,numeric-1.0,44261,126,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...worn or displayed a campaign badge/sticker?",Group Politics
sgnptit,Signed petition last 12 months,no,binary,discrete,numeric-1.0,44199,188,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...signed a petition?",Group Politics
pbldmn,Taken part in lawful public demonstration last 12 months,no,binary,discrete,numeric-1.0,44252,135,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...taken part in a lawful public demonstration?",Group Politics
bctprd,Boycotted certain products last 12 months,no,binary,discrete,numeric-1.0,44173,214,"B15-22 There are different ways of trying to improve things in [country] or help prevent things from going
wrong. During the last 12 months, have you done any of the following? Have you... ...contacted a politician, government or local government official?",Group Politics
pstplonl,Posted or shared anything about politics online last 12 months,no,binary,discrete,numeric-1.0,44211,176,pstplonl? ,Group Politics
clsprty,Feel closer to a particular party than all other parties,no,binary,discrete,numeric-1.0,43209,1178,B23 Is there a particular political party you feel closer to than all the other parties?,Group Politics
prtclcat,"Which party feel closer to, Austria",yes,nominal,discrete,numeric-2.0,869,43518,B24AT Which one? (Austria),Group Politics
prtclcbe,"Which party feel closer to, Belgium",yes,nominal,discrete,numeric-2.0,851,43536,B24BE Which one? (Belgium),Group Politics
prtclfch,"Which party feel closer to, Switzerland",yes,nominal,discrete,numeric-2.0,812,43575,B24CH Which one? (Switzerland),Group Politics
prtcldcz,"Which party feel closer to, Czechia",yes,nominal,discrete,numeric-2.0,785,43602,B24CZ Which one? (Czechia),Group Politics
prtclede,"Which party feel closer to, Germany",yes,nominal,discrete,numeric-2.0,1498,42889,B24DE Which one? (Germany),Group Politics
prtclfee,"Which party feel closer to, Estonia",yes,nominal,discrete,numeric-2.0,795,43592,B24EE Which one? (Estonia),Group Politics
prtclees,"Which party feel closer to, Spain",yes,nominal,discrete,numeric-2.0,1066,43321,B24ES Which one? (Spain),Group Politics
prtcldfi,"Which party feel closer to, Finland",yes,nominal,discrete,numeric-2.0,1024,43363,B24FI Which one? (Finland),Group Politics
prtclefr,"Which party feel closer to, France",yes,nominal,discrete,numeric-2.0,973,43414,B24FR Which one? (France),Group Politics
prtclbgb,"Which party feel closer to, United Kingdom",yes,nominal,discrete,numeric-2.0,1022,43365,B24GB Which one? (United Kingdom),Group Politics
prtclfhu,"Which party feel closer to, Hungary",yes,nominal,discrete,numeric-2.0,603,43784,B24HU Which one? (Hungary),Group Politics
prtcldie,"Which party feel closer to, Ireland",yes,nominal,discrete,numeric-2.0,860,43527,B24IE Which one? (Ireland),Group Politics
prtcldil,"Which party feel closer to, Israel",yes,nominal,discrete,numeric-2.0,1013,43374,B24IL Which one? (Israel),Group Politics
prtclbis,"Which party feel closer to, Iceland",yes,nominal,discrete,numeric-2.0,442,43945,B24IS Which one? (Iceland),Group Politics
prtclcit,"Which party feel closer to, Italy",yes,nominal,discrete,numeric-2.0,742,43645,B24IT Which one? (Italy),Group Politics
prtclblt,"Which party feel closer to, Lithuania",yes,nominal,discrete,numeric-2.0,499,43888,B24LT Which one? (Lithuania),Group Politics
prtclenl,"Which party feel closer to, Netherlands",yes,nominal,discrete,numeric-2.0,886,43501,B24NL Which one? (Netherlands),Group Politics
prtclbno,"Which party feel closer to, Norway",yes,nominal,discrete,numeric-2.0,1043,43344,B24NO Which one? (Norway),Group Politics
prtclgpl,"Which party feel closer to, Poland",yes,nominal,discrete,numeric-2.0,484,43903,B24PL Which one? (Poland),Group Politics
prtclept,"Which party feel closer to, Portugal",yes,nominal,discrete,numeric-2.0,738,43649,B24PT Which one? (Portugal),Group Politics
prtcldru,"Which party feel closer to, Russian Federation",yes,nominal,discrete,numeric-2.0,884,43503,B24RU Which one? (Russian Federation),Group Politics
prtclbse,"Which party feel closer to, Sweden",yes,nominal,discrete,numeric-2.0,935,43452,B24SE Which one? (Sweden),Group Politics
prtclesi,"Which party feel closer to, Slovenia",yes,nominal,discrete,numeric-2.0,428,43959,B24SI Which one? (Slovenia),Group Politics
prtdgcl,How close to party,no,ordinal,discrete,numeric-1.0,19067,25320,B25 How close do you feel to this party? Do you feel that you are ...,Group Politics
lrscale,Placement on left right scale,no,ordinal,discrete,numeric-2.0,38583,5804,"B26 In politics people sometimes talk of 'left' and 'right'. Using this card, where would you place yourself on this scale, where 0 means the left and 10 means the right?",Group Politics
stflife,How satisfied with life as a whole,no,ordinal,discrete,numeric-2.0,44200,187,"B27 All things considered, how satisfied are you with your life as a whole nowadays? Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.",Group Politics
stfeco,How satisfied with present state of economy in country,no,ordinal,discrete,numeric-2.0,43501,886,B28 On the whole how satisfied are you with the present state of the economy in [country]?,Group Politics
stfgov,How satisfied with the national government,no,ordinal,discrete,numeric-2.0,43226,1161,"B29 Now thinking about the [country] government, how satisfied are you with the way it is doing its job?",Group Politics
stfdem,How satisfied with the way democracy works in country,no,ordinal,discrete,numeric-2.0,42896,1491,"B30 And on the whole, how satisfied are you with the way democracy works in [country]?",Group Politics
stfedu,State of education in country nowadays,no,ordinal,discrete,numeric-2.0,42818,1569,"B31 Now, using this card, please say what you think overall about the state of education in [country] nowadays?",Group Politics
stfhlth,State of health services in country nowadays,no,ordinal,discrete,numeric-2.0,44070,317,"B32 Still using this card, please say what you think overall about the state of health services in [country] nowadays?",Group Politics
gincdif,Government should reduce differences in income levels,no,ordinal,discrete,numeric-1.0,43715,672,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. The government should take measures to reduce differences in income levels",Group Politics
mnrgtjb,Men should have more right to job than women when jobs are scarce,no,ordinal,discrete,numeric-1.0,43888,499,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. When jobs are scarce, men should have more right to a job than women.",Group Politics
freehms,Gays and lesbians free to live life as they wish,no,ordinal,discrete,numeric-1.0,43184,1203,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. Gay men and lesbians should be free to live their own life as they wish",Group Politics
hmsfmlsh,Ashamed if close family member gay or lesbian,no,ordinal,discrete,numeric-1.0,42767,1620,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. If a close family member was a gay man or a lesbian, I would feel ashamed.",Group Politics
hmsacld,Gay and lesbian couples right to adopt children,no,ordinal,discrete,numeric-1.0,42937,1450,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. Gay male and lesbian couples should have the same rights to adopt children as straight couples.",Group Politics
euftf,European Union: European unification go further or gone too far,no,ordinal,discrete,numeric-2.0,40776,3611,"B37 Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card,
what number on the scale best describes your position?",Group Politics
imsmetn,Allow many/few immigrants of same race/ethnic group as majority,no,ordinal,discrete,numeric-1.0,43236,1151,"B38 Now, using this card, to what extent do you think [country] should allow people of the same race or ethnic group as most [country] people to come and live here?",Group Politics
imdfetn,Allow many/few immigrants of different race/ethnic group from majority,no,ordinal,discrete,numeric-1.0,43136,1251,B39 How about people of a different race or ethnic group from most [country] people?,Group Politics
impcntr,Allow many/few immigrants from poorer countries outside Europe,no,ordinal,discrete,numeric-1.0,42937,1450,B40 How about people from the poorer countries outside Europe?,Group Politics
imbgeco,Immigration bad or good for country's economy,no,ordinal,discrete,numeric-2.0,42825,1562,B41 Would you say it is generally bad or good for [country]'s economy that people come to live here from other countries?,Group Politics
imueclt,Country's cultural life undermined or enriched by immigrants,no,ordinal,discrete,numeric-2.0,42984,1403,"B42 And, using this card, would you say that [country]'s cultural life is generally undermined or enriched by people coming to live here from other countries?",Group Politics
imwbcnt,Immigrants make country worse or better place to live,no,ordinal,discrete,numeric-2.0,42825,1562,B43 Is [country] made a worse or a better place to live by people coming to live here from other countries?,Group Politics
happy,How happy are you,no,ordinal,discrete,numeric-2.0,44172,215,"C1 Taking all things together, how happy would you say you are?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
sclmeet,"How often socially meet with friends, relatives or colleagues",no,ordinal,discrete,numeric-2.0,44178,209,"C2 Using this card, how often do you meet socially with friends, relatives or work colleagues?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
inprdsc,How many people with whom you can discuss intimate and personal matters,no,ordinal,discrete,numeric-2.0,43866,521,"C3 How many people, if any, are there with whom you can discuss intimate and personal matters?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
sclact,Take part in social activities compared to others of same age,no,ordinal,discrete,numeric-1.0,43532,855,"C4 Compared to other people of your age, how often would you say you take part in social activities?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
crmvct,Respondent or household member victim of burglary/ assault last 5 years,no,binary,discrete,numeric-1.0,44225,162,C5 Have you or a member of your household been the victim of a burglary or assault in the last 5 years?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
aesfdrk,Feeling of safety of walking alone in local area after dark,no,ordinal,discrete,numeric-1.0,43992,395,"C6 How safe do you - or would you
- feel walking alone in this area after dark? Do - or would - you feel...","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
health,Subjective general health,no,ordinal,discrete,numeric-1.0,44328,59,C7 How is your health in general? Would you say it is ...,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
hlthhmp,Hampered in daily activities by illness/disability/infirmity/ mental problem,no,ordinal,discrete,numeric-1.0,44213,174,"C8 Are you hampered in your daily activities in any way by any longstanding illness, or disability,
infirmity or mental health problem? If yes, is that a lot or to some extent?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
atchctr,How emotionally attached to [country],no,ordinal,discrete,numeric-2.0,44152,235,"C9 How emotionally attached do you feel to [country]? Please choose a number from 0 to 10, where 0 means not at all emotionally attached and 10 means
very emotionally attached.","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
atcherp,How emotionally attached to Europe,no,ordinal,discrete,numeric-2.0,43699,688,C10 And how emotionally attached do you feel to Europe?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgblg,Belonging to particular religion or denomination,no,binary,discrete,numeric-1.0,44086,301,C11 Do you consider yourself as belonging to any particular religion or denomination?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnm,Religion or denomination belonging to at present,no,nominal,discrete,numeric-2.0,26123,18264,C12 Which one?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnbat,"Religion or denomination belonging to at present, Austria",yes,nominal,discrete,numeric-4.0,1453,42934,C12AT Which one? (Austria),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnbe,"Religion or denomination belonging to at present, Belgium",yes,nominal,discrete,numeric-4.0,801,43586,C12BE Which one? (Belgium),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnach,"Religion or denomination belonging to at present, Switzerland",yes,nominal,discrete,numeric-4.0,930,43457,C12CH Which one? (Switzerland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnade,"Religion or denomination belonging to at present, Germany",yes,nominal,discrete,numeric-4.0,1549,42838,C12DE Which one? (Germany),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnafi,"Religion or denomination belonging to at present, Finland",yes,nominal,discrete,numeric-4.0,1064,43323,C12FI Which one? (Finland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdngb,"Religion or denomination belonging to at present, United Kingdom",yes,nominal,discrete,numeric-4.0,915,43472,C12GB Which one? (United Kingdom),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnhu,"Religion or denomination belonging to at present, Hungary",yes,nominal,discrete,numeric-4.0,805,43582,C12HU Which one? (Hungary),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnie,"Religion or denomination belonging to at present, Ireland",yes,nominal,discrete,numeric-4.0,2033,42354,C12IE Which one? (Ireland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnis,"Religion or denomination belonging to at present, Iceland",yes,nominal,discrete,numeric-4.0,413,43974,C12IS Which one? (Iceland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnlt,"Religion or denomination belonging to at present, Lithuania",yes,nominal,discrete,numeric-4.0,1847,42540,C12LT Which one? (Lithuania),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnnl,"Religion or denomination belonging to at present, Netherlands",yes,nominal,discrete,numeric-4.0,553,43834,C12NL Which one? (Netherlands),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnno,"Religion or denomination belonging to at present, Norway",yes,nominal,discrete,numeric-4.0,823,43564,C12NO Which one? (Norway),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnapl,"Religion or denomination belonging to at present, Poland",yes,nominal,discrete,numeric-4.0,1520,42867,C12PL Which one? (Poland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnase,"Religion or denomination belonging to at present, Sweden",yes,nominal,discrete,numeric-4.0,561,43826,C12SE Which one? (Sweden),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgblge,Ever belonging to particular religion or denomination,no,binary,discrete,numeric-1.0,17836,26551,C13 Have you ever considered yourself as belonging to any particular religion or denomination?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnme,Religion or denomination belonging to in the past,no,nominal,discrete,numeric-2.0,4494,39893,C14 Which one?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdebat,"Religion or denomination belonging to in the past, Austria",yes,nominal,discrete,numeric-4.0,224,44163,C14AT Which one? (Austria),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdebe,"Religion or denomination belonging to in the past, Belgium",yes,nominal,discrete,numeric-4.0,348,44039,C14BE Which one? (Belgium),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeach,"Religion or denomination belonging to in the past, Switzerland",yes,nominal,discrete,numeric-4.0,263,44124,C14CH Which one? (Switzerland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeade,"Religion or denomination belonging to in the past, Germany",yes,nominal,discrete,numeric-4.0,418,43969,C14DE Which one? (Germany),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeafi,"Religion or denomination belonging to in the past, Finland",yes,nominal,discrete,numeric-4.0,220,44167,C14FI Which one? (Finland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdegb,"Religion or denomination belonging to in the past, United Kingdom",yes,nominal,discrete,numeric-4.0,294,44093,C14GB Which one? (United Kingdom),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdehu,"Religion or denomination belonging to in the past, Hungary",yes,nominal,discrete,numeric-4.0,52,44335,C14HU Which one? (Hungary),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeie,"Religion or denomination belonging to in the past, Ireland",yes,nominal,discrete,numeric-4.0,329,44058,C14IE Which one? (Ireland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeis,"Religion or denomination belonging to in the past, Iceland",yes,nominal,discrete,numeric-4.0,192,44195,C14IS Which one? (Iceland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdelt,"Religion or denomination belonging to in the past, Lithuania",yes,nominal,discrete,numeric-4.0,26,44361,C14LT Which one? (Lithuania),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdenl,"Religion or denomination belonging to in the past, Netherlands",yes,nominal,discrete,numeric-4.0,441,43946,C14NL Which one? (Netherlands),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeno,"Religion or denomination belonging to in the past, Norway",yes,nominal,discrete,numeric-4.0,274,44113,C14NO Which one? (Norway),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeapl,"Religion or denomination belonging to in the past, Poland",yes,nominal,discrete,numeric-4.0,94,44293,C14PL Which one? (Poland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdease,"Religion or denomination belonging to in the past, Sweden",yes,nominal,discrete,numeric-4.0,161,44226,C14SE Which one? (Sweden),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdgr,How religious are you,no,ordinal,discrete,numeric-2.0,43984,403,"C15 Regardless of whether you belong to a particular religion, how religious would you say you are?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgatnd,How often attend religious services apart from special occasions,no,ordinal,discrete,numeric-2.0,44038,349,"C16 Apart from special occasions such as weddings and funerals, about how often do you attend religious services nowadays?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
pray,How often pray apart from at religious services,no,ordinal,discrete,numeric-2.0,43411,976,"C17 Apart from when you are at religious services, how often, if at all, do you pray?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrgrp,Member of a group discriminated against in this country,no,binary,discrete,numeric-1.0,44045,342,"C18 Would you describe yourself as being a member of a group that is
discriminated against in this country?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrrce,Discrimination of respondent's group: colour or race,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Colour or race,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrntn,Discrimination of respondent's group: nationality,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Nationality,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrrlg,Discrimination of respondent's group: religion,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Religion,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrlng,Discrimination of respondent's group: language,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Language,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscretn,Discrimination of respondent's group: ethnic group,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Ethnic group,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrage,Discrimination of respondent's group: age,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Age,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrgnd,Discrimination of respondent's group: gender,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Gender,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrsex,Discrimination of respondent's group: sexuality,no,binary,discrete,numeric-1.0,44387,0,C19 On what grounds is your group discriminated against? Sexuality,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
